,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
121,2021-04-01,sa1,60.0,65.0,20.0,0.3076923076923077,pdfs2\IandF_SA1_202104_Examiners_Report.pdf
122,2021-09-01,sa1,58.0,56.0,17.0,0.3035714285714285,pdfs2\IandF_SA1_202109_Examiner Report.pdf
123,2022-04-01,sa1,59.0,66.0,23.0,0.3484848484848485,pdfs2\IandF_SA1_202204_Examiner Report.pdf
124,2022-09-01,sa1,57.0,59.0,26.0,0.4406779661016949,pdfs2\IandF_SA1_202209_Examiner Report.pdf
125,2023-04-01,sa1,58.0,63.0,24.0,0.3809523809523809,pdfs2\IandF_SA1_202304_Examiner Report.pdf
126,2023-09-01,sa1,55.0,60.0,19.0,0.3166666666666666,pdfs2\IandF_SA1_202309_Examiner Report.pdf
127,2019-09-01,sa2,62.0,,,,pdfs2\IandF_SA2_201909_Examiners_Report.pdf
128,2020-04-01,sa2,63.0,354.0,180.0,0.5084745762711864,pdfs2\IandF_SA2_202004_Examiners_Report_1.1.pdf
129,2021-04-01,sa2,58.0,425.0,161.0,0.3788235294117647,pdfs2\IandF_SA2_202104_Examiners_Report.pdf
130,2021-09-01,sa2,59.0,392.0,151.0,0.3852040816326531,pdfs2\IandF_SA2_202109_Examiner Report.pdf
131,2022-09-01,sa2,52.0,428.0,137.0,0.3200934579439252,pdfs2\IandF_SA2_202209_Examiner Report.pdf
132,2023-04-01,sa2,60.0,534.0,195.0,0.3651685393258427,pdfs2\IandF_SA2_202304_Examiner Report.pdf
133,2023-09-01,sa2,60.0,521.0,179.0,0.3435700575815739,pdfs2\IandF_SA2_202309_Examiner Report.pdf
134,2022-04-01,sa2,60.0,485.0,170.0,0.3505154639175257,pdfs2\IandF_SA2__202204_Examiner Report.pdf
135,2019-04-01,sa3,61.0,,,,pdfs2\IandF_SA3_201904_Examiners_Report.pdf
136,2019-09-01,sa3,60.0,,,,pdfs2\IandF_SA3_201909_Examiners_Report.pdf
137,2020-04-01,sa3,63.0,388.0,127.0,0.327319587628866,pdfs2\IandF_SA3_202004_Examiners_Report_1.1.pdf
138,2020-09-01,sa3,65.0,394.0,183.0,0.4644670050761421,pdfs2\IandF_SA3_202009_Examiners_Report.pdf
139,2021-04-01,sa3,62.0,351.0,106.0,0.301994301994302,pdfs2\IandF_SA3_202104_Examiners_Report.pdf
140,2021-09-01,sa3,65.0,321.0,128.0,0.3987538940809969,pdfs2\IandF_SA3_202109_Examiner Report.pdf
141,2022-09-01,sa3,62.0,360.0,103.0,0.2861111111111111,pdfs2\IandF_SA3_202209_Examiner Report.pdf
142,2023-04-01,sa3,65.0,446.0,152.0,0.3408071748878923,pdfs2\IandF_SA3_202304_Examiner Report.pdf
143,2023-09-01,sa3,65.0,425.0,133.0,0.3129411764705882,pdfs2\IandF_SA3_202309_Examiner Report.pdf
144,2019-04-01,sa4,57.0,,,,pdfs2\IandF_SA4_201904_Examiners_Report.pdf
145,2019-09-01,sa4,55.0,,,,pdfs2\IandF_SA4_201909_Examiners_Report.pdf
146,2020-04-01,sa4,55.0,203.0,59.0,0.2906403940886699,pdfs2\IandF_SA4_202004_Examiners_Report.pdf
147,2020-09-01,sa4,55.0,217.0,87.0,0.4009216589861751,pdfs2\IandF_SA4_202009_Examiners_Report.pdf
148,2021-04-01,sa4,61.0,202.0,60.0,0.297029702970297,pdfs2\IandF_SA4_202104_Examiners_Report.pdf
149,2021-09-01,sa4,60.0,162.0,51.0,0.3148148148148148,pdfs2\IandF_SA4_202109_Examiner Report.pdf
150,2022-04-01,sa4,57.0,189.0,55.0,0.291005291005291,pdfs2\IandF_SA4_202204_ Examiner Report.pdf
151,2022-09-01,sa4,53.0,175.0,46.0,0.2628571428571428,pdfs2\IandF_SA4_202209_Examiner Report.pdf
152,2023-04-01,sa4,57.0,209.0,80.0,0.3827751196172249,pdfs2\IandF_SA4_202304_Examiner Report.pdf
153,2023-09-01,sa4,54.0,168.0,64.0,0.3809523809523809,pdfs2\IandF_SA4_202309_ Examiner Report.pdf
154,2019-04-01,sa7,61.0,,,,pdfs2\IandF_SA7_201904_Examiners_Report.pdf
155,2019-09-01,sa7,62.0,,,,pdfs2\IandF_SA7_201909_Examiners_Report.pdf
156,2020-04-01,sa7,62.0,92.0,36.0,0.391304347826087,pdfs2\IandF_SA7_202004_Examiners_Report.pdf
157,2020-09-01,sa7,59.0,112.0,54.0,0.4821428571428571,pdfs2\IandF_SA7_202009_Examiners_Report.pdf
158,2021-04-01,sa7,60.0,106.0,44.0,0.4150943396226415,pdfs2\IandF_SA7_202104_Examiners_Report.pdf
159,2021-09-01,sa7,60.0,72.0,26.0,0.3611111111111111,pdfs2\IandF_SA7_202109_Examiner Report.pdf
160,2023-04-01,sa7,58.0,97.0,42.0,0.4329896907216495,pdfs2\IandF_SA7_202304_Examiner Report.pdf
161,2023-09-01,sa7,59.0,113.0,51.0,0.4513274336283185,pdfs2\IandF_SA7_202309_Examiner Report.pdf
162,2019-04-01,sp1,63.0,,,,pdfs2\IandF_SP1_201904_Examiners_Report.pdf
163,2019-09-01,sp1,60.0,,,,pdfs2\IandF_SP1_201909_Examiners_Report.pdf
164,2020-04-01,sp1,60.0,206.0,91.0,0.441747572815534,pdfs2\IandF_SP1_202004_Examiners_Report_1.1.pdf
165,2020-09-01,sp1,60.0,276.0,128.0,0.463768115942029,pdfs2\IandF_SP1_202009_Examiners_Report.pdf
166,2021-04-01,sp1,63.0,286.0,153.0,0.534965034965035,pdfs2\IandF_SP1_202104_Examiners_Report.pdf
167,2021-09-01,sp1,60.0,262.0,120.0,0.4580152671755725,pdfs2\IandF_SP1_202109_ Examiner Report.pdf
168,2022-04-01,sp1,63.0,258.0,127.0,0.4922480620155038,pdfs2\IandF_SP1_202204_ Examiner Report.pdf
169,2022-09-01,sp1,60.0,244.0,125.0,0.5122950819672131,pdfs2\IandF_SP1_202209_Examiner Report.pdf
170,2023-04-01,sp1,60.0,240.0,109.0,0.4541666666666666,pdfs2\IandF_SP1_202304_Examiner report.pdf
171,2023-09-01,sp1,57.0,308.0,153.0,0.4967532467532468,pdfs2\IandF_SP1_202309_Examiner Report.pdf
172,2019-09-01,sp2,56.0,,,,pdfs2\IandF_SP2_201909_Examiners_Report.pdf
173,2020-04-01,sp2,56.0,421.0,182.0,0.4323040380047506,pdfs2\IandF_SP2_202004_Examiners_Report_1.1.pdf
174,2020-09-01,sp2,60.0,599.0,308.0,0.5141903171953256,pdfs2\IandF_SP2_202009_Examiners_Report.pdf
175,2021-04-01,sp2,57.0,477.0,228.0,0.4779874213836478,pdfs2\IandF_SP2_202104_Examiners_Report.pdf
176,2021-09-01,sp2,55.0,404.0,164.0,0.4059405940594059,pdfs2\IandF_SP2_202109_ Examiner Report.pdf
177,2022-04-01,sp2,53.0,423.0,157.0,0.3711583924349881,pdfs2\IandF_SP2_202204_ Examiner Report.pdf
178,2022-09-01,sp2,50.0,455.0,152.0,0.334065934065934,pdfs2\IandF_SP2_202209_Examiner Report.pdf
179,2023-04-01,sp2,55.0,580.0,272.0,0.4689655172413793,pdfs2\IandF_SP2_202304_Examiner report.pdf
180,2023-09-01,sp2,56.0,567.0,231.0,0.4074074074074074,pdfs2\IandF_SP2_202309_Examiner Report.pdf
181,2019-04-01,sp4,60.0,,,,pdfs2\IandF_SP4_201904_Examiners_Report.pdf
182,2019-09-01,sp4,60.0,,,,pdfs2\IandF_SP4_201909_Examiners_Report.pdf
183,2020-04-01,sp4,62.0,177.0,46.0,0.2598870056497175,pdfs2\IandF_SP4_202004_Examiners_Report.pdf
184,2020-09-01,sp4,63.0,226.0,81.0,0.3584070796460177,pdfs2\IandF_SP4_202009_Examiners_Report.pdf
185,2021-04-01,sp4,63.0,178.0,74.0,0.4157303370786517,pdfs2\IandF_SP4_202104_Examiners_Report.pdf
186,2021-09-01,sp4,62.0,172.0,96.0,0.5581395348837209,pdfs2\IandF_SP4_202109_ Examiner Report.pdf
187,2022-04-01,sp4,64.0,137.0,75.0,0.5474452554744526,pdfs2\IandF_SP4_202204_ Examiner Report.pdf
188,2022-09-01,sp4,60.0,128.0,66.0,0.515625,pdfs2\IandF_SP4_202209_Examiner Report.pdf
189,2023-04-01,sp4,65.0,135.0,70.0,0.5185185185185185,pdfs2\IandF_SP4_202304_Examiner report.pdf
190,2023-09-01,sp4,63.0,158.0,80.0,0.5063291139240507,pdfs2\IandF_SP4_202309_Examiners Report.pdf
191,2019-09-01,sp5,58.0,,,,pdfs2\IandF_SP5_201909_Examiners_Report.pdf
192,2020-04-01,sp5,64.0,249.0,112.0,0.4497991967871486,pdfs2\IandF_SP5_202004_Examiners_Report_1.1.pdf
193,2021-04-01,sp5,55.0,280.0,122.0,0.4357142857142857,pdfs2\IandF_SP5_202104_Examiners_Report.pdf
194,2021-09-01,sp5,56.0,279.0,128.0,0.4587813620071684,pdfs2\IandF_SP5_202109_ Examiner Report.pdf
195,2022-04-01,sp5,57.0,256.0,115.0,0.44921875,pdfs2\IandF_SP5_202204_Examiner Report.pdf
196,2022-09-01,sp5,64.0,255.0,119.0,0.4666666666666667,pdfs2\IandF_SP5_202209_Examiner Report.pdf
197,2023-04-01,sp5,62.0,237.0,113.0,0.4767932489451477,pdfs2\IandF_SP5_202304_Examiner Report.pdf
198,2023-09-01,sp5,63.0,300.0,153.0,0.51,pdfs2\IandF_SP5_202309_Examiner Report.pdf
199,2021-09-01,sp6,60.0,38.0,15.0,0.3947368421052631,pdfs2\IandF_SP6 _202109_Examiner report.pdf
200,2019-04-01,sp6,60.0,,,,pdfs2\IandF_SP6_201904_Examiners_Report.pdf
201,2019-09-01,sp6,60.0,,,,pdfs2\IandF_SP6_201909_Examiners_Report.pdf
202,2020-09-01,sp6,60.0,68.0,23.0,0.3382352941176471,pdfs2\IandF_SP6_202009_Examiners_Report.pdf
203,2021-04-01,sp6,60.0,49.0,19.0,0.3877551020408163,pdfs2\IandF_SP6_202104_Examiners_Report.pdf
204,2022-04-01,sp6,55.0,41.0,11.0,0.2682926829268293,pdfs2\IandF_SP6_202204_ Examiner Report.pdf
205,2022-09-01,sp6,60.0,53.0,18.0,0.3396226415094339,pdfs2\IandF_SP6_202209_Examiner Report.pdf
206,2023-04-01,sp6,60.0,45.0,24.0,0.5333333333333333,pdfs2\IandF_SP6_202304_Examiner report.pdf
207,2023-09-01,sp6,60.0,45.0,27.0,0.6,pdfs2\IandF_SP6_202309_Examiner Report.pdf
208,2019-04-01,sp7,65.0,,,,pdfs2\IandF_SP7_201904_Examiners_Report.pdf
209,2019-09-01,sp7,61.0,,,,pdfs2\IandF_SP7_201909_Examiners_Report.pdf
210,2020-04-01,sp7,58.0,254.0,53.0,0.2086614173228346,pdfs2\IandF_SP7_202004_Examiners_Report_1.1.pdf
211,2020-09-01,sp7,59.0,399.0,80.0,0.200501253132832,pdfs2\IandF_SP7_202009_Examiners_Report.pdf
212,2021-04-01,sp7,65.0,399.0,187.0,0.4686716791979949,pdfs2\IandF_SP7_202104_Examiners_Report.pdf
213,2021-09-01,sp7,61.0,295.0,112.0,0.3796610169491525,pdfs2\IandF_SP7_202109_ Examiner Report.pdf
214,2022-09-01,sp7,61.0,315.0,119.0,0.3777777777777777,pdfs2\IandF_SP7_202209_Examiner Report.pdf
215,2023-04-01,sp7,59.0,342.0,146.0,0.4269005847953216,pdfs2\IandF_SP7_202304_Examiner Report.pdf
216,2023-09-01,sp7,64.0,372.0,154.0,0.4139784946236559,pdfs2\IandF_SP7_202309_Examiner Report.pdf
217,2022-04-01,sp7,64.0,317.0,141.0,0.444794952681388,pdfs2\IandF_SP7__202204_Examiner Report.pdf
218,2019-04-01,sp8,60.0,,,,pdfs2\IandF_SP8_201904_Examiners_Report.pdf
219,2019-09-01,sp8,57.0,,,,pdfs2\IandF_SP8_201909_Examiners_Report.pdf
220,2020-04-01,sp8,60.0,274.0,111.0,0.4051094890510949,pdfs2\IandF_SP8_202004_Examiners_Report_1.1.pdf
221,2020-09-01,sp8,57.0,337.0,125.0,0.3709198813056379,pdfs2\IandF_SP8_202009_Examiners_Report.pdf
222,2021-04-01,sp8,59.0,325.0,107.0,0.3292307692307692,pdfs2\IandF_SP8_202104_Examiners_Report.pdf
223,2021-09-01,sp8,50.0,285.0,104.0,0.3649122807017544,pdfs2\IandF_SP8_202109_ Examiner Report.pdf
224,2022-09-01,sp8,57.0,316.0,134.0,0.4240506329113924,pdfs2\IandF_SP8_202209_Examiner Report.pdf
225,2023-04-01,sp8,55.0,351.0,121.0,0.3447293447293447,pdfs2\IandF_SP8_202304_Examiner Report.pdf
226,2023-09-01,sp8,60.0,389.0,171.0,0.4395886889460154,pdfs2\IandF_SP8_202309_Examiner Report.pdf
227,2019-04-01,sp9,61.0,,,,pdfs2\IandF_SP9_201904_Examiners_Report.pdf
228,2019-09-01,sp9,63.0,,,,pdfs2\IandF_SP9_201909_Examiners_Report.pdf
229,2020-04-01,sp9,64.0,268.0,68.0,0.2537313432835821,pdfs2\IandF_SP9_202004_Examiners_Report_1.2.pdf
230,2020-09-01,sp9,61.0,329.0,132.0,0.4012158054711246,pdfs2\IandF_SP9_202009_Examiners_Report.pdf
231,2021-04-01,sp9,61.0,273.0,67.0,0.2454212454212454,pdfs2\IandF_SP9_202104_Examiners_Report.pdf
232,2021-09-01,sp9,58.0,238.0,84.0,0.3529411764705882,pdfs2\IandF_SP9_202109_ Examiner Report.pdf
233,2022-09-01,sp9,55.0,140.0,55.0,0.3928571428571428,pdfs2\IandF_SP9_202209_Examiner Report.pdf
234,2023-04-01,sp9,56.0,150.0,81.0,0.54,pdfs2\IandF_SP9_202304_Examiner report.pdf
235,2023-09-01,sp9,55.0,131.0,62.0,0.4732824427480916,pdfs2\IandF_SP9_202309_Examiner Report.pdf
236,2021-04-01,cb2,58.0,934.0,518.0,0.5546038543897216,pdfs2\landF_CB2_202104_Examiners_Report.pdf
237,2019-04-01,cm1,58.0,,,,pdfs2\landF_CM1A_201904_Examiners'_Report.pdf
239,2019-04-01,cm2,60.0,,,,pdfs2\landF_CM2A_201904_Examiners'_Report.pdf
240,2022-04-01,cm2,60.0,1338.0,506.0,0.3781763826606876,pdfs2\landF_CM2A_202204_Examiner Report.pdf
243,2019-04-01,cp1,58.0,,,,pdfs2\landF_CP1_Paper1_201904_Examiners'.pdf
245,2020-04-01,cp2,60.0,1097.0,724.0,0.6599817684594348,pdfs2\landF_CP2_202004_Examiners'_Report_1.1.pdf
246,2022-04-01,cp3,60.0,1324.0,791.0,0.5974320241691843,pdfs2\landF_CP3_202204_Examiner Report.pdf
247,2019-04-01,sa2,55.0,,,,pdfs2\landF_SA2_201904_Examiners'_Report.pdf
248,2022-04-01,sa3,65.0,368.0,89.0,0.2418478260869565,pdfs2\landF_SA3_202204_Examiner Report.pdf
249,2022-04-01,sa7,59.0,96.0,28.0,0.2916666666666667,pdfs2\landF_SA7_202204_Examiner Report.pdf
250,2019-04-01,sp2,60.0,,,,pdfs2\landF_SP2_201904_Examiners'_Report.pdf
251,2022-04-01,sp8,53.0,319.0,138.0,0.4326018808777429,pdfs2\landF_SP8_202204_Examiner Report.pdf
252,2024-04-01,cb1,63.0,1358.0,893.0,0.6575846833578792,pdfs2\CB1\CB1_April 2024_Examiner Report.pdf
253,2025-04-01,cb1,58.0,1120.0,658.0,0.5875,pdfs2\CB1\CB1_April 2025_Examiners' Report.pdf
254,2024-09-01,cb1,63.0,1337.0,819.0,0.612565445026178,pdfs2\CB1\CB1_September 2024_Examiner Report.pdf
255,2024-04-01,cb2,60.0,1089.0,817.0,0.7502295684113865,pdfs2\CB2\CB2_April 2024_Examiner Report.pdf
256,2025-04-01,cb2,59.0,639.0,401.0,0.6275430359937402,pdfs2\CB2\CB2_April2025_Examiners' Report.pdf
257,2024-09-01,cb2,65.0,1169.0,861.0,0.7365269461077845,pdfs2\CB2\CB2_September 2024_Examiner Report.pdf
258,2025-04-01,cm1,59.0,1376.0,548.0,0.3982558139534883,pdfs2\CM1A\CM1A_ April2025_Examiners' Report.pdf
259,2024-04-01,cm1,63.0,1981.0,872.0,0.4401817264008076,pdfs2\CM1A\CM1A_April 2024_Examiner Report.pdf
260,2024-09-01,cm1,58.0,1599.0,480.0,0.300187617260788,pdfs2\CM1A\CM1A_September 2024_Examiner Report.pdf
264,2024-04-01,cm2,56.0,1307.0,583.0,0.4460596786534047,pdfs2\CM2A\CM2A_April 2024_Examiner Report.pdf
265,2025-04-01,cm2,61.0,1012.0,483.0,0.4772727272727273,pdfs2\CM2A\CM2A_April2025_Examiners' Report.pdf
266,2024-09-01,cm2,60.0,1426.0,661.0,0.4635343618513324,pdfs2\CM2A\CM2A_September 2024_Examiner Report.pdf
270,2024-09-01,cp1,53.0,891.0,394.0,0.4421997755331088,pdfs2\CP1 Paper 1\CP1-1_September 2024_Examiner Report.pdf
271,2025-04-01,cp1,55.0,1249.0,544.0,0.4355484387510008,pdfs2\CP1 Paper 1\CP1_Paper1_April2025_Examiners' Report.pdf
274,2024-04-01,cp1,56.0,1553.0,703.0,0.4526722472633612,pdfs2\CP1-1\CP1-1_April 2024_Examiner Report.pdf
276,2024-09-01,cp2,60.0,1451.0,877.0,0.6044107512060648,pdfs2\CP2 Paper 1\CP2-1_September 2024_Examiner Report.pdf
277,2025-04-01,cp2,59.0,968.0,572.0,0.5909090909090909,pdfs2\CP2 Paper 1\CP2_P1_April2025_Examiners' Report.pdf
280,2024-04-01,cp2,61.0,1167.0,706.0,0.6049700085689803,pdfs2\CP2-1\CP2-1_April 2024_Examiner Report.pdf
282,2024-04-01,cp3,55.0,1357.0,647.0,0.4767870302137067,pdfs2\CP3\CP3_April 2024_Examiner Report.pdf
283,2025-04-01,cp3,59.0,1322.0,702.0,0.5310136157337367,pdfs2\CP3\CP3_April2025_Examiners' Report.pdf
