,Date,Subject,Pass Mark,Candidates Entered,Candidates Passed,Pass Rate,Filepath
92,september 2020,cs1,60,1189,823,0.6921783010933558,pdfs2\IandF_CS1B_202009_Examiners_Report.pdf
93,september 2021,cs1,58,1372,578,0.42128279883381925,pdfs2\IandF_CS1B_202109_Examiner Report.pdf
94,september 2022,cs1,55,1302,539,0.41397849462365593,pdfs2\IandF_CS1B_202209_Examiner Report.pdf
95,april 2023,cs1,62,1460,746,0.510958904109589,pdfs2\IandF_CS1B_202304_Examiner Report.pdf
96,september 2023,cs1,60,1508,730,0.48408488063660476,pdfs2\IandF_CS1B_202309_Examiner Report.pdf
97,april 2022,cs1,59,1311,579,0.4416475972540046,pdfs2\IandF_CS1_Paper A_202204_Examiner Report.pdf
98,april 2022,cs1,59,1311,579,0.4416475972540046,pdfs2\IandF_CS1_Paper B_202204_Examiner Report.pdf
99,april 2019,cs2,55,Error,Error,Error,pdfs2\IandF_CS2A_201904_Examiner Report.pdf
100,september 2019,cs2,58,Error,Error,Error,pdfs2\IandF_CS2A_201909_Examiners_Report.pdf
101,september 2020,cs2,56,1363,476,0.3492296404988995,pdfs2\IandF_CS2A_202009_Examiners_Report.pdf
102,september 2021,cs2,58,1264,440,0.34810126582278483,pdfs2\IandF_CS2A_202109_Examiner Report.pdf
103,september 2022,cs2,55,978,195,0.19938650306748465,pdfs2\IandF_CS2A_202209_Examiner Report.pdf
104,april 2023,cs2,51,1226,376,0.3066884176182708,pdfs2\IandF_CS2A_202304_Examiner Report.pdf
105,september 2023,cs2,55,993,331,0.3333333333333333,pdfs2\IandF_CS2A_202309_Examiner Report.pdf
106,april 2019,cs2,55,Error,Error,Error,pdfs2\IandF_CS2B_201904_Examiner Report.pdf
107,september 2019,cs2,58,Error,Error,Error,pdfs2\IandF_CS2B_201909_Examiners_Report.pdf
108,september 2020,cs2,56,1363,476,0.3492296404988995,pdfs2\IandF_CS2B_202009_Examiners_Report.pdf
109,september 2021,cs2,58,1264,440,0.34810126582278483,pdfs2\IandF_CS2B_202109_Examiner Report.pdf
110,september 2022,cs2,55,987,195,0.19756838905775076,pdfs2\IandF_CS2B_202209_Examiner Report.pdf
111,april 2023,cs2,51,1226,376,0.3066884176182708,pdfs2\IandF_CS2B_202304_Examiner Report.pdf
112,september 2023,cs2,55,993,331,0.3333333333333333,pdfs2\IandF_CS2B_202309_Examiner Report.pdf
113,april 2022,cs2,57,1175,452,0.38468085106382977,pdfs2\IandF_CS2_Paper A_202204_Examiner Report.pdf
114,april 2022,cs2,57,1175,452,0.38468085106382977,pdfs2\IandF_CS2_Paper B_202204_Examiner Report.pdf
115,april 2021,cs2,55,1422,480,0.33755274261603374,pdfs2\IandF_CS2_Paper_A_202104_Examiners_Report.pdf
116,april 2021,cs2,55,1422,480,0.33755274261603374,pdfs2\IandF_CS2_Paper_B_202104_Examiners_Report.pdf
117,april 2019,sa1,55,Error,Error,Error,pdfs2\IandF_SA1_201904_Examiners_Report.pdf
118,september 2019,sa1,57,Error,Error,Error,pdfs2\IandF_SA1_201909_Examiners_Report.pdf
119,april 2020,sa1,62,69,36,0.5217391304347826,pdfs2\IandF_SA1_202004_Examiners_Report_1.1.pdf
120,september 2020,sa1,60,54,20,0.37037037037037035,pdfs2\IandF_SA1_202009_Examiners_Report.pdf
121,april 2021,sa1,60,65,20,0.3076923076923077,pdfs2\IandF_SA1_202104_Examiners_Report.pdf
122,september 2021,sa1,58,56,17,0.30357142857142855,pdfs2\IandF_SA1_202109_Examiner Report.pdf
123,april 2022,sa1,59,66,23,0.3484848484848485,pdfs2\IandF_SA1_202204_Examiner Report.pdf
124,september 2022,sa1,57,59,26,0.4406779661016949,pdfs2\IandF_SA1_202209_Examiner Report.pdf
125,april 2023,sa1,58,63,24,0.38095238095238093,pdfs2\IandF_SA1_202304_Examiner Report.pdf
126,september 2023,sa1,55,60,19,0.31666666666666665,pdfs2\IandF_SA1_202309_Examiner Report.pdf
127,september 2019,sa2,62,Error,Error,Error,pdfs2\IandF_SA2_201909_Examiners_Report.pdf
128,april 2020,sa2,63,354,180,0.5084745762711864,pdfs2\IandF_SA2_202004_Examiners_Report_1.1.pdf
129,april 2021,sa2,58,425,161,0.3788235294117647,pdfs2\IandF_SA2_202104_Examiners_Report.pdf
130,september 2021,sa2,59,392,151,0.3852040816326531,pdfs2\IandF_SA2_202109_Examiner Report.pdf
131,september 2022,sa2,52,428,137,0.32009345794392524,pdfs2\IandF_SA2_202209_Examiner Report.pdf
132,april 2023,sa2,60,534,195,0.3651685393258427,pdfs2\IandF_SA2_202304_Examiner Report.pdf
133,september 2023,sa2,60,521,179,0.3435700575815739,pdfs2\IandF_SA2_202309_Examiner Report.pdf
134,april 2022,sa2,60,485,170,0.35051546391752575,pdfs2\IandF_SA2__202204_Examiner Report.pdf
135,april 2019,sa3,61,Error,Error,Error,pdfs2\IandF_SA3_201904_Examiners_Report.pdf
136,september 2019,sa3,60,Error,Error,Error,pdfs2\IandF_SA3_201909_Examiners_Report.pdf
137,april 2020,sa3,63,388,127,0.327319587628866,pdfs2\IandF_SA3_202004_Examiners_Report_1.1.pdf
138,september 2020,sa3,65,394,183,0.46446700507614214,pdfs2\IandF_SA3_202009_Examiners_Report.pdf
139,april 2021,sa3,62,351,106,0.301994301994302,pdfs2\IandF_SA3_202104_Examiners_Report.pdf
140,september 2021,sa3,65,321,128,0.3987538940809969,pdfs2\IandF_SA3_202109_Examiner Report.pdf
141,september 2022,sa3,62,360,103,0.2861111111111111,pdfs2\IandF_SA3_202209_Examiner Report.pdf
142,april 2023,sa3,65,446,152,0.34080717488789236,pdfs2\IandF_SA3_202304_Examiner Report.pdf
143,september 2023,sa3,65,425,133,0.3129411764705882,pdfs2\IandF_SA3_202309_Examiner Report.pdf
144,april 2019,sa4,57,Error,Error,Error,pdfs2\IandF_SA4_201904_Examiners_Report.pdf
145,september 2019,sa4,55,Error,Error,Error,pdfs2\IandF_SA4_201909_Examiners_Report.pdf
146,april 2020,sa4,55,203,59,0.29064039408866993,pdfs2\IandF_SA4_202004_Examiners_Report.pdf
147,september 2020,sa4,55,217,87,0.4009216589861751,pdfs2\IandF_SA4_202009_Examiners_Report.pdf
148,april 2021,sa4,61,202,60,0.297029702970297,pdfs2\IandF_SA4_202104_Examiners_Report.pdf
149,september 2021,sa4,60,162,51,0.3148148148148148,pdfs2\IandF_SA4_202109_Examiner Report.pdf
150,april 2022,sa4,57,189,55,0.291005291005291,pdfs2\IandF_SA4_202204_ Examiner Report.pdf
151,september 2022,sa4,53,175,46,0.26285714285714284,pdfs2\IandF_SA4_202209_Examiner Report.pdf
152,april 2023,sa4,57,209,80,0.3827751196172249,pdfs2\IandF_SA4_202304_Examiner Report.pdf
153,september 2023,sa4,54,168,64,0.38095238095238093,pdfs2\IandF_SA4_202309_ Examiner Report.pdf
154,april 2019,sa7,61,Error,Error,Error,pdfs2\IandF_SA7_201904_Examiners_Report.pdf
155,september 2019,sa7,62,Error,Error,Error,pdfs2\IandF_SA7_201909_Examiners_Report.pdf
156,april 2020,sa7,62,92,36,0.391304347826087,pdfs2\IandF_SA7_202004_Examiners_Report.pdf
157,september 2020,sa7,59,112,54,0.48214285714285715,pdfs2\IandF_SA7_202009_Examiners_Report.pdf
158,april 2021,sa7,60,106,44,0.41509433962264153,pdfs2\IandF_SA7_202104_Examiners_Report.pdf
159,september 2021,sa7,60,72,26,0.3611111111111111,pdfs2\IandF_SA7_202109_Examiner Report.pdf
160,april 2023,sa7,58,97,42,0.4329896907216495,pdfs2\IandF_SA7_202304_Examiner Report.pdf
161,september 2023,sa7,59,113,51,0.45132743362831856,pdfs2\IandF_SA7_202309_Examiner Report.pdf
162,april 2019,sp1,63,Error,Error,Error,pdfs2\IandF_SP1_201904_Examiners_Report.pdf
163,september 2019,sp1,60,Error,Error,Error,pdfs2\IandF_SP1_201909_Examiners_Report.pdf
164,april 2020,sp1,60,206,91,0.441747572815534,pdfs2\IandF_SP1_202004_Examiners_Report_1.1.pdf
165,september 2020,sp1,60,276,128,0.463768115942029,pdfs2\IandF_SP1_202009_Examiners_Report.pdf
166,april 2021,sp1,63,286,153,0.534965034965035,pdfs2\IandF_SP1_202104_Examiners_Report.pdf
167,september 2021,sp1,60,262,120,0.4580152671755725,pdfs2\IandF_SP1_202109_ Examiner Report.pdf
168,april 2022,sp1,63,258,127,0.49224806201550386,pdfs2\IandF_SP1_202204_ Examiner Report.pdf
169,september 2022,sp1,60,244,125,0.5122950819672131,pdfs2\IandF_SP1_202209_Examiner Report.pdf
170,april 2023,sp1,60,240,109,0.45416666666666666,pdfs2\IandF_SP1_202304_Examiner report.pdf
171,september 2023,sp1,57,308,153,0.4967532467532468,pdfs2\IandF_SP1_202309_Examiner Report.pdf
172,september 2019,sp2,56,Error,Error,Error,pdfs2\IandF_SP2_201909_Examiners_Report.pdf
173,april 2020,sp2,56,421,182,0.4323040380047506,pdfs2\IandF_SP2_202004_Examiners_Report_1.1.pdf
174,september 2020,sp2,60,599,308,0.5141903171953256,pdfs2\IandF_SP2_202009_Examiners_Report.pdf
175,april 2021,sp2,57,477,228,0.4779874213836478,pdfs2\IandF_SP2_202104_Examiners_Report.pdf
176,september 2021,sp2,55,404,164,0.40594059405940597,pdfs2\IandF_SP2_202109_ Examiner Report.pdf
